itype,inclination_degrees,eccentricity_std,period_minutes_std,name_of_satellite_alternate_names,country_org_of_un_registry,country_of_operator_owner,operator_owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments
High,98.1,-0.1636560834630505,-0.5941777051672208,Göktürk 1,NR,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,683,683,0,98.42,1060,NA,NA,2016-12-05T00:00:00Z,7,Thales Alenia Space,France/Italy,Guiana Space Center,Vega,2016-073A,41875,"Along with satellite construction, Thales Alenia Space developed a spacecraft integration and test center in Ankara as part of a technology transfer program."
High,98.16,-0.1487195438258663,-0.5942736588131686,Göktürk 2,NR,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,669,690,0.0014894673381090858,98.35,409,NA,NA,2012-12-18T00:00:00Z,5,TÜBİTAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Jiuquan Satellite Launch Center,Long March 2D,2012-073A,39030,High resolution earth observation. Second and third in production.
High,97.3,-0.14685613526883118,-0.5995511093403009,GomX-4A,Denmark,Denmark,GomSpace ApS,Military,Earth Observation,NA,LEO,Sun-Synchronous,0,483,506,0.0016752858911792555,94.5,8,NA,NA,2018-02-02T00:00:00Z,NA,GomSpace,Denmark,Jiuquan Satellite Launch Center,Long March 2D,2018-015F,43197,Collect data for the Danish Ministry of Defense on airplane and ship movements over the Arctic region
High,97.3,-0.14759241806684048,-0.5995511093403009,GomX-4B,Denmark,Denmark,GomSpace ApS,Government,Technology Development,NA,LEO,Sun-Synchronous,0,486,508,0.001601863987185088,94.5,8,NA,NA,2018-02-02T00:00:00Z,NA,GomSpace,Denmark,Jiuquan Satellite Launch Center,Long March 2D,2018-015E,43196,Technology development.
High,82.5,-0.14325301488341963,-0.5702167090076699,Gonets M-03,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1478,1510,0.002034587995930824,115.9,270,NA,120,2012-07-28T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2012-041B,38734,NA
High,82.5,-0.14389438017568507,-0.5702167090076699,Gonets M-04,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1480,1511,0.0019706312376835547,115.9,270,NA,120,2012-07-28T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2012-041D,38736,NA
High,82.5,-0.15537733788042832,-0.569942555733533,Gonets M-05,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1497,1510,8.255540737918334e-4,116.1,270,NA,120,2010-09-08T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2010-043B,37153,Constellation of 12 satellites for civil/commercial use.
High,82.4,-0.15665010122895878,-0.5700796323706014,Gonets M-11 (Gonets M21),Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1497,1508,6.986344871387743e-4,116,280,NA,120,2015-03-31T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020A,40552,NA
High,82.4,-0.15601076589744295,-0.5700796323706014,Gonets M-12 (Gonets M22),Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1494,1506,7.623888182973316e-4,116,280,NA,120,2015-03-31T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020B,40553,NA
High,82.4,0.05297447332539555,-0.5700796323706014,Gonets M-13 (Gonets M23),Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1171,1504,0.021602335387609473,116,280,NA,120,2015-03-31T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020C,40554,NA
High,82.49,-0.147717199543398,-0.5702715396624971,Gonets M-14,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1482,1507,0.001589420815054994,115.86,270,NA,120,2013-09-11T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2013-048A,39249,NA
High,82.49,-0.1541000436242011,-0.5700796323706014,Gonets M-16,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1493,1508,9.52925481227368e-4,116,270,NA,120,2013-09-11T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2013-048B,39250,NA
High,92.49,-0.1541012576291352,-0.5700522170431878,Gonets M-17,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1494,1509,9.528044210125135e-4,116.02,270,NA,120,2013-09-11T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2013-048C,39251,NA
High,82.52,-0.14389186740268137,-0.5702578319987903,Gonets M-18,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1479,1510,0.0019708818106681926,115.87,280,NA,120,2014-07-03T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2014-036A,40061,NA
High,82.51,-0.1432582025438772,-0.5702304166713766,Gonets M-19,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1480,1512,0.0020340706839562673,115.89,280,NA,120,2014-07-03T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2014-036B,40062,NA
High,82.51,-0.14388935399057984,-0.5702989549899108,Gonets M-20,Russia,Russia,Gonets Satcom,Government/Commercial,Communications,NA,LEO,Polar,0,1478,1509,0.0019711324473834805,115.84,280,NA,120,2014-07-03T00:00:00Z,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2014-036C,40063,NA
High,97.85,-0.15357323981923837,-0.5968095765989335,GOSAT-2 (Greenhouse gases Observing Satellite-2; Ibuki-2),NR (11/18),Japan,"JAXA, Ministry of Environment, National Institute of Environmental Studies",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,585,599,0.001005458201666188,96.5,1800,NA,NA,2018-10-29T00:00:00Z,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2018-084B,43672,Measure greenhouse gases in Earth’s atmosphere and help scientists better quantify the role of human activity in climate change.
Low,0,-0.1587795823720867,1.2394690535689465,GovSat-1,Luxembourg,Luxembourg,GovSat,Government/Military,Communications,NA,GEO,NA,21.5,35766,35807,4.862832540652094e-4,1436.1,4230,NA,NA,2018-01-31T00:00:00Z,15,Orbital ATK,USA,Cape Canaveral,Falcon 9,2018-013A,43178,"""GovSat-1 was designed to meet the specific needs of government customers, and will enable a wide array of defense and civilian security applications, even in the most remote locations.” Carries Ka-band and X-band telecom equipment to relay data, radio signals and other communications across a zone stretching from the Atlantic Ocean to the Indian Ocean."
High,65.02,-0.15106633089550706,-0.6021966884357205,GPM Core Observatory (Global Precipitation Measurement),NR,USA/Japan,National Aeronautics and Space Administration (NASA)/JAXA,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,392,409,0.0012554464219776973,92.57,3850,NA,NA,2014-02-27T00:00:00Z,NA,NASA/Goddard Space Flight Center,USA,Tanegashima Space Center,H2A,2014-009C,39574,The GPM Core observatory is equipped with radar and microwave imagers to collect data to measure precipitation in the Earth's atmosphere.
High,88.9,-0.14977786538956497,-0.5995511093403009,Grace Follow-on-1 (Gravity Recovery and Climate Experiment Follow-on-1),NR (10/18),USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,LEO,Polar,0,485,504,0.0013839318231480807,94.5,600,NA,NA,2018-05-22T00:00:00Z,5,NASA Jet Propulsion Laboratory/Airbus,USA/Germany,Vandenberg AFB,Falcon 9,2018-047A,43476,"Continues the work of tracking Earth's water movement to monitor changes in underground water storage, amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, sea level caused by the addition of water to the ocean."
High,88.9,-0.14904636870942498,-0.5995511093403009,Grace Follow-on-2 (Gravity Recovery and Climate Experiment Follow-on-2),NR (10/18),USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,LEO,Polar,0,484,504,0.001456876456876457,94.5,600,NA,NA,2018-05-22T00:00:00Z,5,NASA Jet Propulsion Laboratory/Airbus,USA/Germany,Vandenberg AFB,Falcon 9,2018-047B,43477,"Continues the work of tracking Earth's water movement to monitor changes in underground water storage, amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, sea level caused by the addition of water to the ocean."
High,98.1,-0.16223143390957864,-0.5946163504058396,"Greenhouse Gases Observing Satellite (Ibuki, GoSAT)",Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,668,670,1.4206563432305724e-4,98.1,1750,NA,3800,2009-01-23T00:00:00Z,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2009-002A,33492,Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.
High,99.1,-0.00569888771870734,-0.5981803429696172,GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government/Civil,Technology Development,NA,LEO,Elliptical,0,441,659,0.0157514450867052,95.5,4,NA,NA,2015-01-31T00:00:00Z,NA,"Michigan Exploration Laboratory, University of Michigan",USA,Vandenberg AFB,Delta 2,2015-003D,40379,A spaceborne engineering assessment of a JPL-developed all digital in-pixel high frame rate ROIC (Read-Out Integrated Circuit).
High,97.7,-0.15499373833760688,-0.5972208065101386,GRUS-1,NR (3/19),Japan,Axelspace,Commercial,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,0,570,582,8.638065073423554e-4,96.2,100,NA,NA,2018-12-27T00:00:00Z,5,Axelspace,Japan,Vostochny Cosmodrome,Soyuz 2.1a,2018-111Q,43890,"First satellite in Axelspace's earth observation constellation, AxelGlobe."
Low,0.06,-0.16151515515244233,1.239427930577826,GSAT-10,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,83,35777,35795,2.134927412467976e-4,1436.07,3400,1493,NA,2012-09-28T00:00:00Z,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2012-051B,38779,Also equipped with GAGAN (GPS Aided GEO Augmented Naviation).
Low,0.12,-0.16092048529007077,1.2394553459052398,GSAT-11,NR (3/19),India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,74,35775,35798,2.727930449634101e-4,1436.09,5854,NA,NA,2018-12-04T00:00:00Z,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2018-100B,43824,Heaviest comms satellite ever built by IRSO. Ku- and Ka-band transponders.
Low,0.09,-0.15770906037802787,1.2394690535689465,GSAT-12,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,82.94,35761,35811,5.930353923522156e-4,1436.1,1410,559,1430,2011-07-15T00:00:00Z,8,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C17,2011-034A,37746,C-band expansion at this location. Designed for quick turn-around deployment.
Low,0.23,-0.158065948066092,1.2394690535689465,GSAT-14,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,74,35763,35810,5.574466570991425e-4,1436.1,1982,NA,NA,2014-01-05T00:00:00Z,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2014-001A,39498,Replacement for GSAT-3.
Low,0.1,-0.16092093945510003,1.2394690535689465,GSAT-15,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,93.5,35782,35805,2.7274775576031403e-4,1436.1,3164,NA,NA,2015-01-10T00:00:00Z,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2015-065A,41028,NA
Low,0.18,-0.16103945537576314,1.2394690535689465,GSAT-16,Inda,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,55,35776,35798,2.609293830206134e-4,1436.1,3181,NA,NA,2014-12-06T00:00:00Z,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332,"Replacement for GSAT-3E. 48 transponders - 12 in the C band, 12 in the extended C and 24 in the Ku band."
Low,0,-0.15651982504317583,1.2394690535689465,GSAT-17,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,93.5,35757,35817,7.116255900562184e-4,1436.1,3477,NA,NA,2017-06-28T00:00:00Z,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2017-040B,42815,Also hosts a payload to relay meteorological data and has a search and rescue support mission
Low,0,-0.1592560691893911,1.2394690535689465,GSAT-18,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,74,35775,35812,4.387681288318095e-4,1436.1,3404,NA,NA,2016-10-05T00:00:00Z,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2016-060A,41793,NA
Low,0,-0.16151515515244233,1.2394690535689465,GSAT-19E,India,India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,82.5,35777,35795,2.134927412467976e-4,1436.1,3136,NA,NA,2017-06-03T00:00:00Z,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2017-031A,42747,NA
Low,0.1,-0.1608178003943843,1.2394690535689465,GSAT-29,NR (11/18),India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,55,37782,37807,2.830327525501251e-4,1436.1,3400,NA,NA,2018-11-14T00:00:00Z,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2018-089A,43609,High-throughput.
Low,0.1,-0.16068260718807256,1.2394690535689465,GSAT-31,NR (3/19),India,Indian Space Research Organization (ISRO),Government,Communications,NA,GEO,NA,48,35774,35799,2.965141793080545e-4,1436.1,2536,NA,4700,2019-02-05T00:00:00Z,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2019-007B,44035,Ku-band services to India and neighboring islands and oceans.
Low,0,-0.1636560834630505,1.2394690535689465,GSAT-6 (Insat 4-E),NR,India,Indian Space Research Organization (ISRO),Government/Commercial,Communications,NA,GEO,NA,83,35775,35775,0,1436.1,2110,980,3100,2015-08-27T00:00:00Z,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2015-041A,40880,NA
Low,0.19,-0.1568763967342411,1.2393319769318782,GSAT-7,India,India,Indian Navy,Military,Communications,NA,GEO,NA,74,35757,35814,6.760683659308987e-4,1436,2650,NA,NA,2013-08-29T00:00:00Z,7,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2013-044B,39234,India's first dedicated military satellite.
Low,0.01,-0.16139624149406728,1.2394827612326533,GSAT-7A,NR (3/19),India,Indian Air Force,Military,Communications,NA,GEO,NA,62.7,35777,35796,2.2535077627412143e-4,1436.11,2250,NA,NA,2018-12-19T00:00:00Z,8,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV Mk.2,2018-105A,43864,Built to serve the Indian Air Force.
Low,0.09,-0.16199103549112942,1.2396472531971354,GSAT-8,India,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,NA,GEO,NA,55,35782,35796,1.6603809388268223e-4,1436.23,3093,1426,6250,2011-05-20T00:00:00Z,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605,Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).
Low,0.09,-0.1585387909584969,1.2378241339241263,"GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253)",USA,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,NA,149.04,35741,35784,5.102949029846318e-4,1434.9,NA,600,NA,2014-07-28T00:00:00Z,NA,Orbital Sciences Corp.,USA,Cape Canaveral,Delta 4M,2014-043A,40099,Space surveillance of satellites in GEO.
Low,0.06,-0.15925429442179112,1.2387836703836046,"GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254)",USA,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,NA,115.41,35758,35795,4.3894510813472057e-4,1435.6,NA,600,NA,2014-07-28T00:00:00Z,NA,Orbital Sciences Corp.,USA,Cape Canaveral,Delta 4M,2014-043B,40100,Space surveillance of satellites in GEO.
Low,0.03,-0.15521101018867778,1.2393593922592918,"GSSAP 3 (Geosynchronous Space Situational Awareness Program, USA 270)",USA,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,NA,-111.17,35749,35820,8.421402222775742e-4,1436.02,NA,600,NA,2016-08-19T00:00:00Z,NA,Orbital ATK,USA,Cape Canaveral,Delta 4M+,2016-052A,41744,Space surveillance of satellites in GEO.
Low,0.01,-0.14821140917986034,1.2428137235134147,"GSSAP 4 (Geosynchronous Space Situational Awareness Program, USA 271)",USA,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,GEO,NA,-126.25,35769,35899,0.0015401383755094303,1438.54,NA,600,NA,2016-08-19T00:00:00Z,NA,Orbital ATK,USA,Cape Canaveral,Delta 4M+,2016-052B,41745,Space surveillance of satellites in GEO.
High,98.6,-0.1517303863999441,-0.5914635877532671,Haiyang 1C (HY 1C),NR (11/18),China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,769,786,0.0011892270024484086,100.4,442,NA,NA,2018-09-07T00:00:00Z,NA,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2018-068A,43609,Ocean-imaging surveillance satellite.
High,99.4,-0.16228911124291845,-0.5859805222705323,Haiyang 2A (HY 2A),China,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,965,967,1.3631406761177754e-4,104.4,1500,NA,NA,2011-08-15T00:00:00Z,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-043A,37781,Ocean-imaging surveillance satellite.
High,99.3,-0.1581784878290816,-0.5863917521817373,Haiyang 2B (HY 2B),NR (11/18),China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,949,957,5.462242250443807e-4,104.1,1500,NA,NA,2018-10-24T00:00:00Z,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2018-081A,43655,NA
High,51.6,-0.15773368086042916,-0.6021555654445999,HaloSat,NR (11/18),USA,University of Iowa,Government,Space Science,NA,LEO,Non-Polar Inclined,0,399,407,5.905802450908018e-4,92.6,10,NA,NA,2018-07-13T00:00:00Z,NA,Blue Canyon Technologies,USA,International Space Station,Nanorack Deployer,1998-067NX,43549,Measure soft X-ray emissions from the halo of the Milky Way galaxy.
High,97.7,-0.15428199798886114,-0.5970837298730702,Hawk-A (HawkEye 360 Pathfinder 1),NR (3/19),USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,0,577,590,9.347810455166463e-4,96.3,15,NA,NA,2018-12-03T00:00:00Z,NA,GomSpace/Unitas SFL,Denmark/Canada,Vandenberg AFB,Falcon 9,2018-099H,43765,Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
High,97.7,-0.15428199798886114,-0.5970837298730702,Hawk-B (HawkEye 360 Pathfinder 2),NR (3/19),USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,0,577,590,9.347810455166463e-4,96.3,15,NA,NA,2018-12-03T00:00:00Z,NA,GomSpace/Unitas SFL,Denmark/Canada,Vandenberg AFB,Falcon 9,2018-099AN,43794,Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
High,97.7,-0.15067564712449202,-0.5970837298730702,Hawk-C (HawkEye 360 Pathfinder 3),NR (3/19),USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,0,574,592,0.0012944052926794189,96.3,15,NA,NA,2018-12-03T00:00:00Z,NA,GomSpace/Unitas SFL,Denmark/Canada,Vandenberg AFB,Falcon 9,2018-099AT,43799,Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
High,98.6,-0.15456821962969033,-0.5907782045679253,HEAD-1,NR (3/18),China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,796,809,9.062391077030325e-4,100.9,45,NA,NA,2017-11-14T00:00:00Z,3,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2017-072B,43011,Pathfinder for 30-satellite Skywalker constellation - AIS equipped.
High,98.1,-0.16223406017789896,-0.594753427042908,Helios 2A,NR,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,683,1.4180374361883155e-4,98,4200,"1,500-1,900",2900,2004-12-18T00:00:00Z,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049A,28492,Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).
High,98.1,-0.1615225947302893,-0.5942462434857549,Helios 2B,France,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,679,682,2.12750868732714e-4,98.37,4200,"1,500-1,900",2900,2009-12-18T00:00:00Z,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-073A,36124,"Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series)."
Low,0.01,-0.1596121077652351,1.2394416382415328,"Hellas-Sat 2 (Intelsat K-TV, NSS K-TV)",Greece,Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,NA,GEO,NA,39.06,35769,35803,4.032640667995066e-4,1436.08,3300,NA,7600,2003-05-12T00:00:00Z,15,Astrium,"France, UK, Germany",Cape Canaveral,Atlas 5,2003-020A,27811,30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.
Low,0,-0.15139081390479317,1.2394690535689465,Hellas-Sat 3/INMARSAT S EAN,NR (10/17),Greece/United Kingdom,Hellas-Sat Consortium Ltd./INMARSAT,Commercial,Communications,NA,GEO,NA,39,35685,35788,0.001223089071758517,1436.1,5780,NA,NA,2017-06-28T00:00:00Z,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2017-040A,42814,"Direct-to-home television programming over Europe, Africa and the Middle East with 44 Ku-band transponders and a Ka-band payload owned by Hellas-Sat; S-band payload will connect airline passengers traveling across Europe with Wi-Fi as part of Inmarsat’s European Aviation Network."
Low,0.01,-0.1636560834630505,1.2394690535689465,Hellas-Sat 4/SGS-1 (Saudi Geostationary Satellite 1),NR (3/19),Greece,Hellas-Sat Consortium Ltd.,Commercial/Government,Communications,NA,GEO,NA,39,35785,35785,0,1436.1,6495,NA,NA,2019-02-05T00:00:00Z,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2019-007A,44034,"Will provide Ka-band broadband Internet connectivity and other telecom services across Saudi Arabia and neighboring countries, including secure military communications for nations in the Gulf Cooperative Council. Ku-band for Europe and Middle East."
Low,38,-0.1520511556957847,-0.5981803429696172,"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)",USA,USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Space Science,NA,LEO,Non-Polar Inclined,0,535,551,0.0011572399826414003,95.5,293,NA,414,2002-02-05T00:00:00Z,3,"Spectrum Astro, Inc.",USA,Cape Canaveral,Pegasus,2002-004A,27370,Explore basic physics of particle acceleration and explosive energy release in solar flares.
High,97.5,-0.14610908747549395,-0.598865726154959,Hiber-1,NR (11/18),Netherlands,Hiber Global,Commercial,Technology Development,NA,LEO,NA,0,476,500,0.0017497812773403325,95,4,NA,NA,2018-11-29T00:00:00Z,NA,Hiber Global,Netherlands,Satish Dhawan Space Centre,PSLV,2018-096AB,43744,NA
High,97.7,-0.1521179178287763,-0.5970837298730702,Hiber-2,NR (3/19),Netherlands,Hiber Global,Commercial,Technology Development,NA,LEO,NA,0,575,591,0.0011505824823817058,96.3,7,NA,NA,2018-12-03T00:00:00Z,NA,Hiber Global,Netherlands,Vandenberg AFB,Falcon 9,2018-099S,43774,Test the IoT/M2M service. Part of 12/3/2019 SSO-A flight.
Low,0.08,-0.16092042039703972,1.2394142229141192,Himawari 8,Japan,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,NA,140,35774,35797,2.7279951607738016e-4,1436.06,3500,1300,2600,2014-10-07T00:00:00Z,8,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2014-060A,40267,Equipped with highly improved Advanced Himawari Imagers (AHIs).
Low,0,-0.16234797111142205,1.2394690535689465,Himawari 9,Japan,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,NA,140,35788,35799,1.304445788418893e-4,1436.1,3500,1300,2600,2016-11-02T00:00:00Z,8,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2016-064A,41836,Equipped with highly improved Advanced Himawari Imagers (AHIs).
High,98.1,-0.1451724018113347,-0.5942051204946345,Hinode (Solar B),Japan,Multinational,Institute of Space and Aeronautical Science/NASA,Government,Space Science,NA,LEO,Sun-Synchronous,0,670,696,0.0018431872961860202,98.4,700,530,1000,2006-10-22T00:00:00Z,3,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V,2006-041A,29479,NA
Low,31,-0.026543807178388227,-0.5834171891573539,"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,NA,Elliptical,NA,0,952,1155,0.013672795851013672,106.27,348,NA,900,2013-09-14T00:00:00Z,1,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2013-049A,39253,Carries extreme ultraviolet telescope to observe the planets and measure their interaction with plasma generated by Jupiters moon Io and investigate the mechanism of how the atmosphere of the terrestrial planets escapes into space.
Low,0.02,-0.15830382616809022,1.2394827612326533,Hispasat 1D,Spain,Spain,Hispasat,Government/Commercial/Military,Communications,NA,GEO,NA,-29.95,35764,35809,5.337255227544981e-4,1436.11,3288,1382,6200,2002-09-18T00:00:00Z,15,Alcatel Space Industries,France,Cape Canaveral,Atlas 2AS,2002-044A,27528,"Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders."
Low,0.07,-0.1631802990436887,1.239263438613344,Hispasat 1E,NR,Spain,Hispasat,Commercial,Communications,NA,GEO,NA,-30,35782,35786,4.744508231721782e-5,1435.95,5320,2175,14000,2010-12-29T00:00:00Z,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2010-070A,37264,63 Ku-band transponders and a Ka-band capability.
Low,0,-0.163418208182388,1.2394827612326533,Hispasat 30W-6 (Hispasat 1F),NR (3/19),Spain,Hispasat,Commercial,Communications,NA,GEO,NA,-30,35786,35788,2.372085300187395e-5,1436.11,6100,NA,NA,2018-03-06T00:00:00Z,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2018-023A,43228,"Forty Ku-band, 10 C-band, 7 Ka-band transponders."
